Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382033701049600,1730382032371800945,1329248655
1730382033711713500,1730382032381942894,1329770606
1730382033721992000,1730382032392159241,1329832759
1730382033731980100,1730382032402273644,1329706456
1730382033742357500,1730382032412387150,1329970350
1730382033752245000,1730382032422499355,1329745645
1730382033762291300,1730382032432622132,1329669168
1730382033772299900,1730382032442784691,1329515209
1730382033782189100,1730382032452946574,1329242526
1730382033792978900,1730382032463060397,1329918503
1730382033802801800,1730382032473172662,1329629138
1730382033812532800,1730382032483288002,1329244798
1730382033823108700,1730382032493406800,1329701900
1730382033832776300,1730382032503518452,1329257848
1730382033842773300,1730382032513629029,1329144271
1730382033853642800,1730382032523747599,1329895201
1730382033863654400,1730382032533883205,1329771195
1730382033873386600,1730382032543999203,1329387397
1730382033883384400,1730382032554118241,1329266159
1730382033893393000,1730382032564229555,1329163445
1730382033903743600,1730382032574350892,1329392708
1730382033913989000,1730382032584463592,1329525408
1730382033924258800,1730382032594575841,1329682959
1730382033933744100,1730382032604688117,1329055983
1730382033944437800,1730382032614800177,1329637623
1730382033954447700,1730382032624911468,1329536232
1730382033964447500,1730382032635030166,1329417334
1730382033974750200,1730382032645158726,1329591474
1730382033984762100,1730382032655270196,1329491904
1730382033994951400,1730382032665391945,1329559455
1730382034004435200,1730382032675504216,1328930984
1730382034015134900,1730382032685615315,1329519585
1730382034025298400,1730382032695726305,1329572095
1730382034035438100,1730382032705839078,1329599022
